Vardas, Pavarde, Ar buvo geras
Mamartas, Mamertauskas, Geras
Linas, Mamermtauskas, Geras
Gabija, Šakalyte, Bloga
Petras, Petraitis, Blogas
Birutė, Brazauskienė, Gera
Jonas, Jonaitis, Geras
Joana, Mockaitė, Gera
Rojus, Mockus, Geras
Voldemortas, Voldemortas, Blogas
Laura, Bala, Geras
Ernestas, Urbonas, Geras
Ernestas2, Urbonas, Blogas
Ernestas3, Urbonas, Blogas
Ernestas4, Urbonas, Blogas
Ernestas5, Urbonas, Blogas
Ernestas6, Urbonas, Blogas
Ernestas7, Urbonas, Blogas
Ernestas8, Urbonas, Blogas
Ernestas9, Urbonas, Blogas
Ernestas10, Urbonas, Blogas
Ernestas11, Urbonas, Blogas
Ernestas12, Urbonas, Blogas
Ernestas13, Urbonas, Blogas
Ernestas14, Urbonas, Blogas
Ernestas15, Urbonas, Blogas
Ernestas16, Urbonas, Blogas
Ernestas17, Urbonas, Blogas
Ernestas18, Urbonas, Blogas
Ernestas19, Urbonas, Blogas
Ernestas20, Urbonas, Blogas
Ernestas21, Urbonas, Blogas
Ernestas22, Urbonas, Blogas
Ernestas23, Urbonas, Blogas
Ernestas24, Urbonas, Blogas
Ernestas25, Urbonas, Blogas
Ernestas26, Urbonas, Blogas
Ernestas27, Urbonas, Blogas
Ernestas28, Urbonas, Blogas
Ernestas29, Urbonas, Blogas
Ernestas30, Urbonas, Blogas
Ernestas31, Urbonas, Blogas
Ernestas32, Urbonas, Blogas
Ernestas33, Urbonas, Blogas
Ernestas34, Urbonas, Blogas
Ernestas35, Urbonas, Blogas
Ernestas36, Urbonas, Blogas
Ernestas37, Urbonas, Blogas
Ernestas38, Urbonas, Blogas
Ernestas39, Urbonas, Blogas
Ernestas40, Urbonas, Blogas
Ernestas41, Urbonas, Blogas
Ernestas42, Urbonas, Blogas
Ernestas43, Urbonas, Blogas
Ernestas44, Urbonas, Blogas
Ernestas45, Urbonas, Blogas
Ernestas46, Urbonas, Blogas
Ernestas47, Urbonas, Blogas
Ernestas48, Urbonas, Blogas
Ernestas49, Urbonas, Blogas
Ernestas50, Urbonas, Blogas
Ernestas51, Urbonas, Blogas
Ernestas52, Urbonas, Blogas
Ernestas53, Urbonas, Blogas
Ernestas54, Urbonas, Blogas
Ernestas55, Urbonas, Blogas
Ernestas56, Urbonas, Blogas
Ernestas57, Urbonas, Blogas
Ernestas58, Urbonas, Blogas
Ernestas59, Urbonas, Blogas
Ernestas60, Urbonas, Blogas
Ernestas61, Urbonas, Blogas
Ernestas62, Urbonas, Blogas
Ernestas63, Urbonas, Blogas
Ernestas64, Urbonas, Blogas
Ernestas65, Urbonas, Blogas
Ernestas66, Urbonas, Blogas
Ernestas67, Urbonas, Blogas
Ernestas68, Urbonas, Blogas
Ernestas69, Urbonas, Blogas
Ernestas70, Urbonas, Blogas
Ernestas71, Urbonas, Blogas
Ernestas72, Urbonas, Blogas
Ernestas73, Urbonas, Blogas
Ernestas74, Urbonas, Blogas
Ernestas75, Urbonas, Blogas
Ernestas76, Urbonas, Blogas
Ernestas77, Urbonas, Blogas
Ernestas78, Urbonas, Blogas
Ernestas79, Urbonas, Blogas
Ernestas80, Urbonas, Blogas
Ernestas81, Urbonas, Blogas
Ernestas82, Urbonas, Blogas
Ernestas83, Urbonas, Blogas
Ernestas84, Urbonas, Blogas
Ernestas85, Urbonas, Blogas
Ernestas86, Urbonas, Blogas
Ernestas87, Urbonas, Blogas
Ernestas88, Urbonas, Blogas
Ernestas89, Urbonas, Blogas
Ernestas90, Urbonas, Blogas
Ernestas91, Urbonas, Blogas
Ernestas92, Urbonas, Blogas
Ernestas93, Urbonas, Blogas
Ernestas94, Urbonas, Blogas
Ernestas95, Urbonas, Blogas
Ernestas96, Urbonas, Blogas
Ernestas97, Urbonas, Blogas
Ernestas98, Urbonas, Blogas
Ernestas99, Urbonas, Blogas
Ernestas100, Urbonas, Blogas
Ernestas101, Urbonas, Blogas
Ernestas102, Urbonas, Blogas
Ernestas103, Urbonas, Blogas
Ernestas104, Urbonas, Blogas
Ernestas105, Urbonas, Blogas
Ernestas106, Urbonas, Blogas
Ernestas107, Urbonas, Blogas
Ernestas108, Urbonas, Blogas
Ernestas109, Urbonas, Blogas
Ernestas110, Urbonas, Blogas
Ernestas111, Urbonas, Blogas
Ernestas112, Urbonas, Blogas
Ernestas113, Urbonas, Blogas
Ernestas114, Urbonas, Blogas
Ernestas115, Urbonas, Blogas
Ernestas116, Urbonas, Blogas
Ernestas117, Urbonas, Blogas
Ernestas118, Urbonas, Blogas
Ernestas119, Urbonas, Blogas
Ernestas120, Urbonas, Blogas
Ernestas121, Urbonas, Blogas
Ernestas122, Urbonas, Blogas
Ernestas123, Urbonas, Blogas
Ernestas124, Urbonas, Blogas
Ernestas125, Urbonas, Blogas
Ernestas126, Urbonas, Blogas
Ernestas127, Urbonas, Blogas
Ernestas128, Urbonas, Blogas
Ernestas129, Urbonas, Blogas
Ernestas130, Urbonas, Blogas
